town,storey_range,floor_area_sqm,remaining_lease
87748,ANG MO KIO,1,67.0,56
87749,ANG MO KIO,1,67.0,57
87750,ANG MO KIO,1,67.0,57
87751,ANG MO KIO,0,67.0,54
87752,ANG MO KIO,0,67.0,54
87753,ANG MO KIO,1,67.0,54
87754,ANG MO KIO,0,73.0,56
87755,ANG MO KIO,1,73.0,56
87756,ANG MO KIO,1,68.0,57
87757,ANG MO KIO,1,67.0,55
87758,ANG MO KIO,1,67.0,55
87759,ANG MO KIO,0,73.0,56
87760,ANG MO KIO,0,67.0,56
87761,ANG MO KIO,1,73.0,56
87762,ANG MO KIO,1,73.0,56
87763,ANG MO KIO,0,67.0,55
87764,ANG MO KIO,0,67.0,56
87765,ANG MO KIO,0,73.0,55
87766,ANG MO KIO,1,68.0,62
87767,ANG MO KIO,1,67.0,56
87768,ANG MO KIO,0,73.0,56
87769,ANG MO KIO,1,67.0,57
87770,ANG MO KIO,0,67.0,56
87771,ANG MO KIO,0,67.0,56
87772,ANG MO KIO,1,82.0,57
87773,ANG MO KIO,1,73.0,55
87774,ANG MO KIO,0,67.0,57
87775,ANG MO KIO,0,73.0,55
87776,ANG MO KIO,0,74.0,55
87777,ANG MO KIO,0,67.0,54
87778,ANG MO KIO,1,88.0,55
87779,ANG MO KIO,0,67.0,56
87780,ANG MO KIO,1,67.0,56
87781,ANG MO KIO,1,82.0,56
87782,ANG MO KIO,0,67.0,54
87783,ANG MO KIO,1,73.0,55
87784,ANG MO KIO,0,82.0,55
87785,ANG MO KIO,1,82.0,57
87786,ANG MO KIO,0,73.0,56
87787,ANG MO KIO,1,73.0,56
87788,ANG MO KIO,1,82.0,56
87789,ANG MO KIO,0,67.0,57
87790,ANG MO KIO,0,67.0,54
87791,ANG MO KIO,0,67.0,57
87792,ANG MO KIO,1,73.0,55
87793,ANG MO KIO,1,67.0,56
87794,ANG MO KIO,0,73.0,56
87795,ANG MO KIO,0,67.0,56
87796,ANG MO KIO,1,67.0,56
87797,ANG MO KIO,1,74.0,56
87798,ANG MO KIO,0,74.0,56
87799,ANG MO KIO,0,73.0,55
87800,ANG MO KIO,0,68.0,59
87801,ANG MO KIO,1,60.0,64
87802,ANG MO KIO,1,73.0,55
87803,ANG MO KIO,1,60.0,64
87804,ANG MO KIO,0,88.0,55
87805,ANG MO KIO,1,89.0,56
87806,ANG MO KIO,0,67.0,56
87807,ANG MO KIO,1,74.0,56
87808,ANG MO KIO,0,60.0,63
87809,ANG MO KIO,1,82.0,59
87810,ANG MO KIO,0,82.0,56
87811,ANG MO KIO,0,61.0,63
87812,ANG MO KIO,0,74.0,56
87813,ANG MO KIO,1,67.0,56
87814,ANG MO KIO,0,60.0,64
87815,ANG MO KIO,1,74.0,56
87816,ANG MO KIO,0,74.0,55
87817,ANG MO KIO,1,74.0,55
87818,ANG MO KIO,0,67.0,59
87819,ANG MO KIO,0,68.0,58
87820,ANG MO KIO,0,68.0,58
87821,ANG MO KIO,1,68.0,59
87822,ANG MO KIO,0,68.0,58
87823,ANG MO KIO,0,67.0,56
87824,ANG MO KIO,0,74.0,56
87825,ANG MO KIO,1,74.0,55
87826,ANG MO KIO,1,67.0,56
87827,ANG MO KIO,1,67.0,56
87828,ANG MO KIO,1,60.0,63
87829,ANG MO KIO,1,75.0,58
87830,ANG MO KIO,0,82.0,59
87831,ANG MO KIO,0,68.0,58
87832,ANG MO KIO,1,67.0,56
87833,ANG MO KIO,2,68.0,58
87834,ANG MO KIO,0,74.0,56
87835,ANG MO KIO,1,60.0,63
87836,ANG MO KIO,1,67.0,62
87837,ANG MO KIO,0,74.0,55
87838,ANG MO KIO,1,82.0,58
87839,ANG MO KIO,1,89.0,58
87840,ANG MO KIO,1,68.0,59
87841,ANG MO KIO,1,68.0,59
87842,ANG MO KIO,1,75.0,58
